profil,library,run_ke,fitness,durasi_detik
Tipe Pagi,PyGAD,1,0.0,0.4019291400909424
Tipe Pagi,DEAP,1,0.0,0.09418702125549316
Tipe Pagi,PyGAD,2,0.0,0.4115915298461914
Tipe Pagi,DEAP,2,0.0,0.09401631355285645
Tipe Pagi,PyGAD,3,0.0,0.4018824100494385
Tipe Pagi,DEAP,3,0.0,0.09200525283813477
Tipe Pagi,PyGAD,4,0.0,0.406463623046875
Tipe Pagi,DEAP,4,0.0,0.10196900367736816
Tipe Pagi,PyGAD,5,0.0,0.396806001663208
Tipe Pagi,DEAP,5,0.0,0.0939338207244873
Tipe Pagi,PyGAD,6,0.0,0.39799046516418457
Tipe Pagi,DEAP,6,0.0,0.09379911422729492
Tipe Pagi,PyGAD,7,77.25,0.39728665351867676
Tipe Pagi,DEAP,7,0.0,0.09200334548950195
Tipe Pagi,PyGAD,8,70.08333333333334,0.40140795707702637
Tipe Pagi,DEAP,8,0.0,0.09245681762695312
Tipe Pagi,PyGAD,9,0.0,0.39649271965026855
Tipe Pagi,DEAP,9,0.0,0.09228849411010742
Tipe Pagi,PyGAD,10,0.0,0.4025230407714844
Tipe Pagi,DEAP,10,0.0,0.0909419059753418
Intermediate,PyGAD,1,0.0,0.43367600440979004
Intermediate,DEAP,1,0.0,0.09335780143737793
Intermediate,PyGAD,2,76.00000000000001,0.4100525379180908
Intermediate,DEAP,2,66.66666666666667,0.0948946475982666
Intermediate,PyGAD,3,78.66666666666667,0.4015471935272217
Intermediate,DEAP,3,74.58333333333334,0.09609103202819824
Intermediate,PyGAD,4,77.83333333333334,0.403228759765625
Intermediate,DEAP,4,0.0,0.09409403800964355
Intermediate,PyGAD,5,76.58333333333331,0.4084312915802002
Intermediate,DEAP,5,77.66666666666666,0.11278820037841797
Intermediate,PyGAD,6,75.0,0.4528927803039551
Intermediate,DEAP,6,0.0,0.1041717529296875
Intermediate,PyGAD,7,75.83333333333333,0.43582653999328613
Intermediate,DEAP,7,75.5,0.10150742530822754
Intermediate,PyGAD,8,79.08333333333333,0.43010568618774414
Intermediate,DEAP,8,0.0,0.0962827205657959
Intermediate,PyGAD,9,77.0,0.43061089515686035
Intermediate,DEAP,9,0.0,0.09557366371154785
Intermediate,PyGAD,10,66.75,0.42070794105529785
Intermediate,DEAP,10,69.74999999999999,0.09549593925476074
Tipe Malam,PyGAD,1,76.58333333333334,0.4132871627807617
Tipe Malam,DEAP,1,80.75,0.10018658638000488
Tipe Malam,PyGAD,2,81.66666666666667,0.43125247955322266
Tipe Malam,DEAP,2,0.0,0.1255021095275879
Tipe Malam,PyGAD,3,78.74999999999999,0.42707037925720215
Tipe Malam,DEAP,3,78.08333333333334,0.10540246963500977
Tipe Malam,PyGAD,4,82.08333333333333,0.42212915420532227
Tipe Malam,DEAP,4,82.41666666666667,0.09685921669006348
Tipe Malam,PyGAD,5,80.16666666666667,0.4285874366760254
Tipe Malam,DEAP,5,79.58333333333333,0.09713149070739746
Tipe Malam,PyGAD,6,80.75000000000001,0.42080044746398926
Tipe Malam,DEAP,6,0.0,0.10031437873840332
Tipe Malam,PyGAD,7,80.50000000000001,0.41529250144958496
Tipe Malam,DEAP,7,0.0,0.09801244735717773
Tipe Malam,PyGAD,8,81.75000000000001,0.42409801483154297
Tipe Malam,DEAP,8,79.66666666666666,0.09452962875366211
Tipe Malam,PyGAD,9,80.33333333333334,0.41845250129699707
Tipe Malam,DEAP,9,78.08333333333333,0.09679031372070312
Tipe Malam,PyGAD,10,81.0,0.4180886745452881
Tipe Malam,DEAP,10,79.41666666666667,0.09943342208862305
